"","Country","Code","Year","SDG_sub","Value"
"1","Belgium","BEL",2000,"14_1_1",57.7914091132973
"2","Belgium","BEL",2001,"14_1_1",34.8446587222561
"3","Belgium","BEL",2002,"14_1_1",52.8382207107856
"4","Belgium","BEL",2003,"14_1_1",48.2307353889984
"5","Belgium","BEL",2004,"14_1_1",57.7914091132973
"6","Belgium","BEL",2005,"14_1_1",46.0431716322827
"7","Belgium","BEL",2006,"14_1_1",34.5216246960053
"8","Belgium","BEL",2007,"14_1_1",54.6800813867768
"9","Belgium","BEL",2008,"14_1_1",52.4358449938768
"10","Belgium","BEL",2009,"14_1_1",52.6058629024297
"11","Belgium","BEL",2010,"14_1_1",56.7542998711238
"12","Belgium","BEL",2011,"14_1_1",54.6800813867768
"13","Belgium","BEL",2012,"14_1_1",56.0628937096748
"14","Belgium","BEL",2013,"14_1_1",42.5861408250376
"15","Belgium","BEL",2014,"14_1_1",55.7171906289503
"16","Belgium","BEL",2015,"14_1_1",41.3223410381268
"17","Belgium","BEL",2016,"14_1_1",63.0349012962936
"18","Belgium","BEL",2017,"14_1_1",65.0908199056214
"19","Belgium","BEL",2018,"14_1_1",78.6475847808223
"20","Belgium","BEL",2019,"14_1_1",67.8433918544662
"21","Belgium","BEL",2020,"14_1_1",67.8433918544662
"22","Belgium","BEL",2000,"14_2_1",0
"23","Belgium","BEL",2001,"14_2_1",0
"24","Belgium","BEL",2002,"14_2_1",0
"25","Belgium","BEL",2003,"14_2_1",0
"26","Belgium","BEL",2004,"14_2_1",0
"27","Belgium","BEL",2005,"14_2_1",0
"28","Belgium","BEL",2006,"14_2_1",0
"29","Belgium","BEL",2007,"14_2_1",0
"30","Belgium","BEL",2008,"14_2_1",0
"31","Belgium","BEL",2009,"14_2_1",0
"32","Belgium","BEL",2010,"14_2_1",0
"33","Belgium","BEL",2011,"14_2_1",0
"34","Belgium","BEL",2012,"14_2_1",0
"35","Belgium","BEL",2013,"14_2_1",0
"36","Belgium","BEL",2014,"14_2_1",0
"37","Belgium","BEL",2015,"14_2_1",0
"38","Belgium","BEL",2016,"14_2_1",0
"39","Belgium","BEL",2017,"14_2_1",0
"40","Belgium","BEL",2018,"14_2_1",0
"41","Belgium","BEL",2019,"14_2_1",0
"42","Belgium","BEL",2020,"14_2_1",0
"43","Belgium","BEL",2000,"14_5_1",80.79487
"44","Belgium","BEL",2001,"14_5_1",80.79487
"45","Belgium","BEL",2002,"14_5_1",82.00182
"46","Belgium","BEL",2003,"14_5_1",82.65622
"47","Belgium","BEL",2004,"14_5_1",82.65622
"48","Belgium","BEL",2005,"14_5_1",91.6602
"49","Belgium","BEL",2006,"14_5_1",91.6602
"50","Belgium","BEL",2007,"14_5_1",91.66264
"51","Belgium","BEL",2008,"14_5_1",91.66264
"52","Belgium","BEL",2009,"14_5_1",91.66264
"53","Belgium","BEL",2010,"14_5_1",91.66264
"54","Belgium","BEL",2011,"14_5_1",91.66264
"55","Belgium","BEL",2012,"14_5_1",91.66425
"56","Belgium","BEL",2013,"14_5_1",91.66425
"57","Belgium","BEL",2014,"14_5_1",91.66425
"58","Belgium","BEL",2015,"14_5_1",91.66425
"59","Belgium","BEL",2016,"14_5_1",91.66425
"60","Belgium","BEL",2017,"14_5_1",91.66425
"61","Belgium","BEL",2018,"14_5_1",91.66425
"62","Belgium","BEL",2019,"14_5_1",91.66425
"63","Belgium","BEL",2020,"14_5_1",91.66425
"64","Belgium","BEL",2000,"14_6_1",100
"65","Belgium","BEL",2001,"14_6_1",100
"66","Belgium","BEL",2002,"14_6_1",100
"67","Belgium","BEL",2003,"14_6_1",100
"68","Belgium","BEL",2004,"14_6_1",100
"69","Belgium","BEL",2005,"14_6_1",100
"70","Belgium","BEL",2006,"14_6_1",100
"71","Belgium","BEL",2007,"14_6_1",100
"72","Belgium","BEL",2008,"14_6_1",100
"73","Belgium","BEL",2009,"14_6_1",100
"74","Belgium","BEL",2010,"14_6_1",100
"75","Belgium","BEL",2011,"14_6_1",100
"76","Belgium","BEL",2012,"14_6_1",100
"77","Belgium","BEL",2013,"14_6_1",100
"78","Belgium","BEL",2014,"14_6_1",100
"79","Belgium","BEL",2015,"14_6_1",100
"80","Belgium","BEL",2016,"14_6_1",100
"81","Belgium","BEL",2017,"14_6_1",100
"82","Belgium","BEL",2018,"14_6_1",100
"83","Belgium","BEL",2019,"14_6_1",100
"84","Belgium","BEL",2020,"14_6_1",100
"85","Belgium","BEL",2000,"14_7_1",0.0799945315745297
"86","Belgium","BEL",2001,"14_7_1",0.0799945315745297
"87","Belgium","BEL",2002,"14_7_1",0.0799945315745297
"88","Belgium","BEL",2003,"14_7_1",0.0799945315745297
"89","Belgium","BEL",2004,"14_7_1",0.0799945315745297
"90","Belgium","BEL",2005,"14_7_1",0.0799945315745297
"91","Belgium","BEL",2006,"14_7_1",0.0799945315745297
"92","Belgium","BEL",2007,"14_7_1",0.0799945315745297
"93","Belgium","BEL",2008,"14_7_1",0.0799945315745297
"94","Belgium","BEL",2009,"14_7_1",0.0799945315745297
"95","Belgium","BEL",2010,"14_7_1",0.0799945315745297
"96","Belgium","BEL",2011,"14_7_1",0.0799945315745297
"97","Belgium","BEL",2012,"14_7_1",0.0698073956974306
"98","Belgium","BEL",2013,"14_7_1",0.0663426680789445
"99","Belgium","BEL",2014,"14_7_1",0.0675557643746206
"100","Belgium","BEL",2015,"14_7_1",0.0690556326859544
"101","Belgium","BEL",2016,"14_7_1",0.0707430160049982
"102","Belgium","BEL",2017,"14_7_1",0.0724303993240421
"103","Belgium","BEL",2018,"14_7_1",0.0679896150897904
"104","Belgium","BEL",2019,"14_7_1",0.0539774878365459
"105","Belgium","BEL",2020,"14_7_1",0.0539774878365459
"106","Belgium","BEL",2000,"14_a_1",4.50305509576101
"107","Belgium","BEL",2001,"14_a_1",4.50305509576101
"108","Belgium","BEL",2002,"14_a_1",4.50305509576101
"109","Belgium","BEL",2003,"14_a_1",4.50305509576101
"110","Belgium","BEL",2004,"14_a_1",4.50305509576101
"111","Belgium","BEL",2005,"14_a_1",4.50305509576101
"112","Belgium","BEL",2006,"14_a_1",4.50305509576101
"113","Belgium","BEL",2007,"14_a_1",4.50305509576101
"114","Belgium","BEL",2008,"14_a_1",4.50305509576101
"115","Belgium","BEL",2009,"14_a_1",4.50305509576101
"116","Belgium","BEL",2010,"14_a_1",4.50305509576101
"117","Belgium","BEL",2011,"14_a_1",4.50305509576101
"118","Belgium","BEL",2012,"14_a_1",4.50305509576101
"119","Belgium","BEL",2013,"14_a_1",4.50305509576101
"120","Belgium","BEL",2014,"14_a_1",4.26230207901234
"121","Belgium","BEL",2015,"14_a_1",3.50509716151526
"122","Belgium","BEL",2016,"14_a_1",3.26114299662145
"123","Belgium","BEL",2017,"14_a_1",3.06920748908609
"124","Belgium","BEL",2018,"14_a_1",3.06920748908609
"125","Belgium","BEL",2019,"14_a_1",3.06920748908609
"126","Belgium","BEL",2020,"14_a_1",3.06920748908609
"127","Belgium","BEL",2000,"14_b_1",75
"128","Belgium","BEL",2001,"14_b_1",75
"129","Belgium","BEL",2002,"14_b_1",75
"130","Belgium","BEL",2003,"14_b_1",75
"131","Belgium","BEL",2004,"14_b_1",75
"132","Belgium","BEL",2005,"14_b_1",75
"133","Belgium","BEL",2006,"14_b_1",75
"134","Belgium","BEL",2007,"14_b_1",75
"135","Belgium","BEL",2008,"14_b_1",75
"136","Belgium","BEL",2009,"14_b_1",75
"137","Belgium","BEL",2010,"14_b_1",75
"138","Belgium","BEL",2011,"14_b_1",75
"139","Belgium","BEL",2012,"14_b_1",75
"140","Belgium","BEL",2013,"14_b_1",75
"141","Belgium","BEL",2014,"14_b_1",75
"142","Belgium","BEL",2015,"14_b_1",75
"143","Belgium","BEL",2016,"14_b_1",75
"144","Belgium","BEL",2017,"14_b_1",75
"145","Belgium","BEL",2018,"14_b_1",75
"146","Belgium","BEL",2019,"14_b_1",81.25
"147","Belgium","BEL",2020,"14_b_1",87.5
"148","Bangladesh","BGD",2000,"14_1_1",46.2335365991884
"149","Bangladesh","BGD",2001,"14_1_1",48.1604062294562
"150","Bangladesh","BGD",2002,"14_1_1",47.0892934055721
"151","Bangladesh","BGD",2003,"14_1_1",45.9841769999774
"152","Bangladesh","BGD",2004,"14_1_1",45.4967923287919
"153","Bangladesh","BGD",2005,"14_1_1",44.4880194047106
"154","Bangladesh","BGD",2006,"14_1_1",48.2964205562986
"155","Bangladesh","BGD",2007,"14_1_1",44.8790605943826
