Country,CountryCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Åland Islands,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Albania,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Algeria,,,,,,,,,,,,,,1,1,1,1,1,1,1,
American Samoa,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Andorra,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Angola,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Anguilla,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Antigua and Barbuda,,,,,,,,,,,,,,0,0,0,0,0,1,1,
Argentina,,,,,,,,,,,,,,0,0,0,0,1,1,1,
Armenia,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Aruba,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Australia,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Australia and New Zealand,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Austria,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Azerbaijan,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Bahamas,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Bahrain,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Bangladesh,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Barbados,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Belarus,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Belgium,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Belize,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Benin,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Bermuda,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Bhutan,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Bolivia (Plurinational State of),,,,,,,,,,,,,,0,0,0,0,1,1,1,
"Bonaire, Sint Eustatius and Saba",,,,,,,,,,,,,,0,0,0,0,0,0,0,
Bosnia and Herzegovina,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Botswana,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Brazil,,,,,,,,,,,,,,1,1,1,1,1,1,1,
British Indian Ocean Territory,,,,,,,,,,,,,,0,0,0,0,0,0,0,
British Virgin Islands,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Brunei Darussalam,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Bulgaria,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Burkina Faso,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Burundi,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Cabo Verde,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Cambodia,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Cameroon,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Canada,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Cayman Islands,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Central African Republic,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Central and Southern Asia,,,,,,,,,,,,,,9,10,10,10,10,10,10,
Central Asia,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Chad,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Channel Islands,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Chile,,,,,,,,,,,,,,0,0,0,0,1,1,1,
China,,,,,,,,,,,,,,0,0,0,0,0,0,0,
"China, Hong Kong Special Administrative Region",,,,,,,,,,,,,,0,0,0,0,0,0,0,
