GeoAreaCode,GeoAreaName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
72,Botswana,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
76,Brazil,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86,British Indian Ocean Territory,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92,British Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96,Brunei Darussalam,,,,,,,,,,,,0.12641,,0.1639,,0.265,,0.26377
100,Bulgaria,,,,,,,,,,,,0.00741,,0.00633,,0.00683,,0.00584
854,Burkina Faso,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
108,Burundi,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
132,Cabo Verde,,,,,,,,,,,,0.3558,,0.46417,,0.67389,,0.41004
116,Cambodia,,,,,,,,,,,,1.12772,,0.82782,,0.78262,,0.60069
120,Cameroon,,,,,,,,,,,,0.12832,,0.14481,,0.1687,,0.18169
124,Canada,,,,,,,,,,,,0.05421,,0.05312,,0.06804,,
136,Cayman Islands,,,,,,,,,,,,0.01876,,0.01505,,0.0235,,0.02338
140,Central African Republic,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
148,Chad,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
830,Channel Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
152,Chile,,,,,,,,,,,,,,0.18317,,0.09717,,0.19129
156,China,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
344,"China, Hong Kong Special Administrative Region",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
446,"China, Macao Special Administrative Region",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
162,Christmas Island,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
166,Cocos (Keeling) Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
170,Colombia,,,,,,,,,,,,0.03564,,0.02939,,0.03371,,0.03484
174,Comoros,,,,,,,,,,,,4.88284,,4.49865,,5.35453,,
178,Congo,,,,,,,,,,,,0.21657,,0.2196,,0.30928,,
184,Cook Islands,,,,,,,,,,,,0.54627,,0.40877,,0.21905,,0.26565
188,Costa Rica,,,,,,,,,,,,0.03458,,0.02677,,0.02642,,0.0293
384,Côte d'Ivoire,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
191,Croatia,,,,,,,,,,,,0.10745,,0.09427,,0.08921,,0.08704
192,Cuba,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
531,Curaçao,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,Cyprus,,,,,,,,,,,,0.01407,,0.0113,,0.0123,,0.01076
203,Czechia,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
408,Democratic People's Republic of Korea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
180,Democratic Republic of the Congo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
208,Denmark,,,,,,,,,,,,0.08353,,0.07737,,0.08636,,0.09986
262,Djibouti,,,,,,,,,,,,,,0.37095,,0.29918,,0.34205
212,Dominica,,,,,,,,,,,,0.19565,,0.1542,,0.27275,,0.24172
214,Dominican Republic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
218,Ecuador,,,,,,,,,,,,0.47296,,0.44154,,0.2624,,0.34213
818,Egypt,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
222,El Salvador,,,,,,,,,,,,0.23719,,0.25022,,0.22874,,0.20005
226,Equatorial Guinea,,,,,,,,,,,,0.06113,,0.07044,,0.11487,,0.13381
232,Eritrea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
233,Estonia,,,,,,,,,,,,0.15842,,0.12283,,0.13217,,0.10188
748,Eswatini,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
231,Ethiopia,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
238,Falkland Islands (Malvinas),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
234,Faroe Islands,,,,,,,,,,,,10.4205,,10.32137,,10.19194,,13.60124
242,Fiji,,,,,,,,,,,,1.40624,,1.15668,,0.66292,,0.52737
246,Finland,,,,,,,,,,,,0.0401,,0.03641,,0.02975,,0.0361
250,France,,,,,,,,,,,,0.02071,,0.01618,,0.01688,,0.02138
254,French Guiana,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
258,French Polynesia,,,,,,,,,,,,1.12888,,1.65477,,1.74662,,
260,French Southern Territories,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
266,Gabon,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
270,Gambia,,,,,,,,,,,,2.44364,,2.43202,,2.53386,,3.73019
268,Georgia,,,,,,,,,,,,0.01909,,0.01707,,0.0138,,0.01476
276,Germany,,,,,,,,,,,,0.0052,,0.00509,,0.0045,,0.00502
288,Ghana,,,,,,,,,,,,,,0.49952,,0.52725,,0.41426
292,Gibraltar,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300,Greece,,,,,,,,,,,,0.06264,,0.05312,,0.05341,,0.05507
304,Greenland,,,,,,,,,,,,9.1133,,9.20765,,11.05066,,11.86706
308,Grenada,,,,,,,,,,,,0.72516,,0.73653,,0.72159,,0.68454
312,Guadeloupe,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
316,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
320,Guatemala,,,,,,,,,,,,0.0531,,0.06089,,0.04997,,0.0444
831,Guernsey,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
324,Guinea,,,,,,,,,,,,1.75184,,1.78201,,1.76972,,1.51123
624,Guinea-Bissau,,,,,,,,,,,,1.70987,,1.9129,,1.70216,,1.82361
328,Guyana,,,,,,,,,,,,1.16164,,1.02131,,0.80564,,0.9427
332,Haiti,,,,,,,,,,,,0.33938,,0.31085,,0.19961,,0.21522
334,Heard Island and McDonald Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
336,Holy See,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
340,Honduras,,,,,,,,,,,,0.03733,,0.03045,,0.02509,,0.02547
348,Hungary,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
352,Iceland,,,,,,,,,,,,4.72636,,3.7404,,3.15782,,2.21401
356,India,,,,,,,,,,,,0.25485,,0.23868,,0.22913,,0.19854
360,Indonesia,,,,,,,,,,,,0.7161,,0.51729,,0.56313,,0.53139
364,Iran (Islamic Republic of),,,,,,,,,,,,0.10314,,0.15237,,0.18596,,0.1947
368,Iraq,,,,,,,,,,,,0.00317,,0.00529,,0.00458,,0.00785
372,Ireland,,,,,,,,,,,,0.05663,,0.05322,,0.03531,,0.03497
833,Isle of Man,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
376,Israel,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
380,Italy,,,,,,,,,,,,0.02146,,0.01279,,0.01339,,0.01256
388,Jamaica,,,,,,,,,,,,0.18146,,0.17901,,0.2436,,0.23271
392,Japan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
832,Jersey,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400,Jordan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
398,Kazakhstan,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
404,Kenya,,,,,,,,,,,,0.01638,,0.02334,,0.02056,,0.0541
296,Kiribati,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
414,Kuwait,,,,,,,,,,,,0.01308,,0.01267,,0.01093,,0.02114
417,Kyrgyzstan,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
418,Lao People's Democratic Republic,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
428,Latvia,,,,,,,,,,,,0.09382,,0.0937,,0.08652,,0.08849
422,Lebanon,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
426,Lesotho,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
430,Liberia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
434,Libya,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
438,Liechtenstein,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
440,Lithuania,,,,,,,,,,,,0.03314,,0.03949,,0.03202,,0.04564
442,Luxembourg,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
450,Madagascar,,,,,,,,,,,,3.70535,,3.61555,,3.481,,3.55276
454,Malawi,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
458,Malaysia,,,,,,,,,,,,0.67389,,0.66306,,0.61148,,0.54041
462,Maldives,,,,,,,,,,,,2.78271,,2.5872,,2.86179,,3.03131
466,Mali,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
470,Malta,,,,,,,,,,,,0.05898,,0.02858,,0.03415,,0.00867
584,Marshall Islands,,,,,,,,,,,,10.13946,,12.50108,,8.53238,,10.01025
474,Martinique,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
478,Mauritania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
480,Mauritius,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
175,Mayotte,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,Melanesia,,,,,,,,,,,,1.25437,,1.04463,,0.62516,,0.51197
484,Mexico,,,,,,,,,,,,0.05999,,0.05978,,0.0679,,0.0712
57,Micronesia,,,,,,,,,,,,7.77654,,7.64032,,6.00023,,6.71764
583,Micronesia (Federated States of),,,,,,,,,,,,10.26256,,9.056,,8.78466,,9.35743
492,Monaco,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
496,Mongolia,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
499,Montenegro,,,,,,,,,,,,0.00303,,0.00008,,,,
500,Montserrat,,,,,,,,,,,,0.18044,,0.18333,,0.16021,,0.14413
504,Morocco,,,,,,,,,,,,0.46325,,0.46924,,0.56314,,0.59752
508,Mozambique,,,,,,,,,,,,0.75804,,0.62967,,0.72033,,1.02867
104,Myanmar,,,,,,,,,,,,3.0694,,2.56766,,2.22436,,2.11438
516,Namibia,,,,,,,,,,,,1.60784,,1.73433,,1.7407,,1.66362
520,Nauru,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
524,Nepal,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
528,Netherlands,,,,,,,,,,,,0.0276,,0.02268,,0.02549,,0.0295
540,New Caledonia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
554,New Zealand,,,,,,,,,,,,0.50355,,0.55917,,0.58027,,0.54613
558,Nicaragua,,,,,,,,,,,,0.33874,,0.33021,,0.34994,,0.47348
562,Niger,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
566,Nigeria,,,,,,,,,,,,0.09204,,0.09247,,0.10367,,0.12716
570,Niue,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
574,Norfolk Island,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
807,North Macedonia,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
580,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
578,Norway,,,,,,,,,,,,0.40806,,0.37025,,0.3965,,0.67633
512,Oman,,,,,,,,,,,,0.35436,,0.36126,,0.42461,,0.54022
586,Pakistan,,,,,,,,,,,,0.14393,,0.12217,,0.12363,,0.16718
585,Palau,,,,,,,,,,,,1.63236,,1.45304,,1.23132,,1.28706
591,Panama,,,,,,,,,,,,0.50385,,0.4509,,0.40515,,0.32941
598,Papua New Guinea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600,Paraguay,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
604,Peru,,,,,,,,,,,,0.50117,,0.3583,,0.2246,,0.22792
608,Philippines,,,,,,,,,,,,0.68147,,0.58086,,0.52128,,0.40486
612,Pitcairn,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
616,Poland,,,,,,,,,,,,0.00786,,0.00823,,0.0102,,0.01087
61,Polynesia,,,,,,,,,,,,1.20187,,1.64014,,1.75286,,1.73087
620,Portugal,,,,,,,,,,,,0.1264,,0.12099,,0.10274,,0.11929
630,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
634,Qatar,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
410,Republic of Korea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
498,Republic of Moldova,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
638,Réunion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
642,Romania,,,,,,,,,,,,0.00092,,0.00181,,0.00855,,0.01546
643,Russian Federation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
646,Rwanda,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
652,Saint Barthélemy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
654,Saint Helena,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
659,Saint Kitts and Nevis,,,,,,,,,,,,0.25242,,0.19315,,0.19541,,0.15878
662,Saint Lucia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
663,Saint Martin (French Part),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
666,Saint Pierre and Miquelon,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
670,Saint Vincent and the Grenadines,,,,,,,,,,,,0.20964,,0.21833,,0.25635,,0.24022
882,Samoa,,,,,,,,,,,,1.56701,,1.6441,,2.32554,,2.35414
674,San Marino,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
678,Sao Tome and Principe,,,,,,,,,,,,2.81997,,3.19765,,3.96627,,3.97303
682,Saudi Arabia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
686,Senegal,,,,,,,,,,,,,,,,0.64401,,0.83478
688,Serbia,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
690,Seychelles,,,,,,,,,,,,0.68271,,0.88311,,0.55271,,0.51385
694,Sierra Leone,,,,,,,,,,,,5.14147,,4.82491,,6.96918,,7.29757
702,Singapore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
534,Sint Maarten (Dutch part),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
703,Slovakia,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
705,Slovenia,,,,,,,,,,,,0.00168,,0.0008,,0.00049,,0.00031
90,Solomon Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
706,Somalia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
710,South Africa,,,,,,,,,,,,0.04696,,0.05752,,0.08467,,0.10583
239,South Georgia and the South Sandwich Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
728,South Sudan,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
724,Spain,,,,,,,,,,,,0.06177,,0.06288,,0.06099,,0.06851
144,Sri Lanka,,,,,,,,,,,,1.13022,,1.087,,0.87939,,0.72167
275,State of Palestine,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
729,Sudan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
740,Suriname,,,,,,,,,,,,1.6099,,1.61385,,2.00103,,2.13604
744,Svalbard and Jan Mayen Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
752,Sweden,,,,,,,,,,,,0.02298,,0.01781,,0.01776,,0.02017
756,Switzerland,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
760,Syrian Arab Republic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
762,Tajikistan,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
764,Thailand,,,,,,,,,,,,0.45055,,0.36258,,0.32679,,0.3011
626,Timor-Leste,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
768,Togo,,,,,,,,,,,,0.42019,,0.3662,,0.39571,,
772,Tokelau,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
776,Tonga,,,,,,,,,,,,1.98856,,2.24317,,1.8679,,1.71563
780,Trinidad and Tobago,,,,,,,,,,,,0.02408,,0.0189,,0.03061,,
788,Tunisia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
792,Turkey,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
795,Turkmenistan,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
796,Turks and Caicos Islands,,,,,,,,,,,,0.32935,,0.25418,,0.28201,,0.28564
798,Tuvalu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
800,Uganda,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
804,Ukraine,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
784,United Arab Emirates,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
826,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,0.01852,,0.01627,,0.01661,,0.02175
834,United Republic of Tanzania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
581,United States Minor Outlying Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
840,United States of America,,,,,,,,,,,,0.01756,,0.01803,,0.01573,,0.01321
850,United States Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
858,Uruguay,,,,,,,,,,,,0.0588,,0.03688,,0.01937,,0.01504
860,Uzbekistan,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
548,Vanuatu,,,,,,,,,,,,0.5307,,0.45902,,0.39242,,0.41976
862,Venezuela (Bolivarian Republic of),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
704,Viet Nam,,,,,,,,,,,,1.26892,,1.17316,,1.26253,,1.16537
876,Wallis and Futuna Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
