Country,CountryCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Liechtenstein,LIE,0.99239,0.99237,0.99234,0.99233,0.99233,0.99233,0.99235,0.99237,0.9924,0.99241,0.99243,0.99245,0.99248,0.99251,0.99253,0.99256,0.99258,0.9926,0.99263,0.99266
Lithuania,LTU,0.98832,0.98828,0.98823,0.98819,0.98815,0.98814,0.98813,0.98813,0.98813,0.98822,0.98832,0.98842,0.98852,0.98852,0.98852,0.98852,0.98852,0.98852,0.98852,0.98852
Afghanistan,AFG,0.83905,0.83878,0.83848,0.83822,0.83811,0.83799,0.83791,0.838,0.83795,0.83791,0.83786,0.83779,0.83772,0.83766,0.83759,0.83751,0.83744,0.83734,0.83731,0.83724
Luxembourg,LUX,0.98558,0.98552,0.98553,0.9856,0.98566,0.98571,0.98577,0.98583,0.98588,0.98589,0.98595,0.98601,0.98611,0.98615,0.9863,0.98641,0.9865,0.98663,0.98671,0.98685
Albania,ALB,0.88878,0.88643,0.88319,0.88069,0.88003,0.87716,0.87512,0.8729,0.87036,0.8677,0.86509,0.86253,0.8601,0.857,0.85357,0.8518,0.84989,0.84663,0.84376,0.84031
"China, Macao Special Administrative Region",MAC,0.97625,0.97619,0.97614,0.97609,0.97604,0.97521,0.97438,0.97355,0.97272,0.9726,0.97248,0.97236,0.97225,0.97225,0.97225,0.97225,0.97225,0.97225,0.97225,0.97225
Antarctica,ATA,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,0.9071,0.90664,0.90634,0.90601,0.90572,0.90562,0.90561,0.90557,0.9055,0.9054,0.90531,0.90513,0.905,0.90488,0.9047,0.90448,0.9044,0.90424,0.90406,0.90396
Madagascar,MDG,0.85426,0.85044,0.84746,0.84291,0.83949,0.83563,0.83228,0.82819,0.82538,0.82175,0.81863,0.81565,0.81104,0.80676,0.80392,0.79948,0.797,0.79195,0.78833,0.78486
American Samoa,ASM,0.8724,0.87073,0.86757,0.86495,0.86247,0.85853,0.85773,0.85502,0.85213,0.8506,0.85008,0.84635,0.84412,0.84224,0.84093,0.83897,0.83535,0.83452,0.83119,0.82785
Andorra,AND,0.91893,0.91848,0.91803,0.91758,0.91718,0.91713,0.91704,0.917,0.91699,0.91697,0.91695,0.91695,0.91694,0.91692,0.91686,0.91683,0.91677,0.91673,0.91668,0.91662
Angola,AGO,0.93483,0.9348,0.93474,0.93468,0.93461,0.93454,0.93449,0.93455,0.93454,0.93451,0.9345,0.93446,0.9344,0.93445,0.93439,0.93428,0.93432,0.93426,0.93422,0.93416
Antigua and Barbuda,ATG,0.92961,0.92734,0.92473,0.92263,0.92037,0.91809,0.91588,0.91332,0.91127,0.90881,0.9068,0.90447,0.90196,0.89927,0.89728,0.89568,0.89221,0.89009,0.88812,0.88552
Azerbaijan,AZE,0.91452,0.91387,0.91374,0.91373,0.91303,0.91289,0.91211,0.9121,0.91189,0.91189,0.91189,0.91188,0.91199,0.91207,0.91222,0.91221,0.91229,0.9125,0.91236,0.91221
Argentina,ARG,0.86534,0.86495,0.86465,0.86422,0.86402,0.86375,0.8635,0.86322,0.86308,0.86289,0.86282,0.86244,0.86223,0.86206,0.8619,0.86149,0.86133,0.86096,0.86072,0.86031
Australia,AUS,0.88096,0.87773,0.87465,0.87167,0.86832,0.8652,0.86227,0.85894,0.85573,0.85277,0.85044,0.84751,0.84387,0.84012,0.83745,0.83487,0.83131,0.82796,0.82515,0.82201
Austria,AUT,0.89405,0.89404,0.89404,0.89404,0.89404,0.89407,0.89411,0.89414,0.89417,0.89418,0.89422,0.89424,0.89428,0.89431,0.89435,0.89439,0.89443,0.89446,0.89449,0.89453
Bahamas,BHS,0.72532,0.72433,0.72311,0.72231,0.72115,0.71988,0.71886,0.71788,0.71681,0.71566,0.71473,0.71369,0.71205,0.7108,0.70919,0.70741,0.70582,0.70411,0.70226,0.7005
Bahrain,BHR,0.89739,0.89493,0.89194,0.88878,0.88548,0.88226,0.87979,0.87709,0.87401,0.87095,0.86862,0.86607,0.86322,0.85986,0.85657,0.85424,0.85118,0.84811,0.84444,0.84282
Bangladesh,BGD,0.83352,0.82921,0.82316,0.82021,0.81696,0.8125,0.80711,0.80371,0.80019,0.79645,0.79224,0.78772,0.78557,0.78056,0.7765,0.77286,0.76899,0.76496,0.76026,0.75661
Armenia,ARM,0.85431,0.85419,0.85413,0.85356,0.85219,0.85014,0.84838,0.84663,0.84604,0.84602,0.84601,0.846,0.846,0.84599,0.84599,0.84599,0.84599,0.84598,0.84598,0.84598
Barbados,BRB,0.92204,0.92146,0.92101,0.92045,0.91993,0.91952,0.91901,0.91866,0.91804,0.9176,0.91728,0.91676,0.91632,0.9159,0.9155,0.91487,0.91435,0.91399,0.91365,0.91301
Belgium,BEL,0.98413,0.9841,0.98408,0.98417,0.98419,0.98435,0.98442,0.98454,0.98468,0.98477,0.98491,0.98503,0.9852,0.98533,0.98554,0.98566,0.98579,0.98588,0.98604,0.98619
Bermuda,BMU,0.64777,0.64711,0.64653,0.64589,0.64517,0.64601,0.64521,0.645,0.6448,0.64424,0.64331,0.64357,0.64239,0.64229,0.64098,0.63979,0.63899,0.63886,0.6387,0.63757
Bhutan,BTN,0.80232,0.80188,0.80154,0.80136,0.80112,0.80108,0.80117,0.80097,0.80096,0.80089,0.80068,0.80045,0.80031,0.80005,0.79971,0.79965,0.79946,0.79911,0.79887,0.79885
Bolivia (Plurinational State of),BOL,0.87615,0.87602,0.87562,0.87524,0.87499,0.87466,0.87434,0.87403,0.87356,0.87322,0.87248,0.87221,0.87162,0.87117,0.87091,0.87077,0.87049,0.87029,0.87018,0.86988
Bosnia and Herzegovina,BIH,0.90442,0.90437,0.90431,0.90429,0.90429,0.90433,0.90434,0.90439,0.90446,0.90449,0.90456,0.90461,0.90466,0.90471,0.90475,0.90477,0.90483,0.90485,0.90489,0.90493
Botswana,BWA,0.98057,0.98051,0.98047,0.9804,0.98035,0.98018,0.98013,0.98003,0.97991,0.97966,0.97941,0.97916,0.97891,0.97888,0.97883,0.97879,0.97875,0.9787,0.97867,0.97863
Bouvet Island,BVT,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,0.91237,0.91177,0.91127,0.91085,0.91025,0.9097,0.90912,0.90844,0.90786,0.90693,0.90612,0.90517,0.90445,0.9039,0.90341,0.90289,0.90237,0.902,0.90161,0.90111
Belize,BLZ,0.78622,0.78372,0.78138,0.77879,0.77637,0.77376,0.77178,0.76903,0.76688,0.76496,0.76214,0.7597,0.75741,0.75469,0.75268,0.75024,0.7479,0.74535,0.74326,0.74063
British Indian Ocean Territory,IOT,,,,,,,,,,,,,,,,,,,,
Solomon Islands,SLB,0.83037,0.82629,0.8237,0.81921,0.81576,0.81233,0.80855,0.80499,0.80116,0.79843,0.79475,0.79185,0.78812,0.78437,0.78096,0.77804,0.7733,0.77006,0.7666,0.76343
British Virgin Islands,VGB,0.7673,0.76635,0.76563,0.7651,0.76424,0.76351,0.7624,0.76243,0.76098,0.76052,0.75973,0.75892,0.75778,0.75784,0.75654,0.75607,0.75514,0.7542,0.75329,0.75228
Brunei Darussalam,BRN,0.85023,0.84795,0.84613,0.84491,0.84326,0.84229,0.84106,0.83987,0.83847,0.83687,0.83578,0.83434,0.83327,0.83197,0.83069,0.82873,0.82745,0.82547,0.82475,0.82368
Bulgaria,BGR,0.94394,0.94373,0.94352,0.94333,0.94331,0.94333,0.94333,0.94336,0.94339,0.94341,0.94345,0.9435,0.94353,0.94357,0.94359,0.94361,0.94362,0.94364,0.94366,0.94368
Myanmar,MMR,0.85734,0.85395,0.85097,0.8481,0.84485,0.84292,0.83957,0.83643,0.83386,0.83089,0.82798,0.82517,0.82278,0.81938,0.81682,0.81372,0.81077,0.80758,0.80574,0.8028
Burundi,BDI,0.9194,0.91976,0.9202,0.92043,0.92052,0.92059,0.92071,0.92072,0.92073,0.92072,0.9207,0.92067,0.92067,0.92065,0.92065,0.92064,0.92064,0.92063,0.92063,0.92061
Belarus,BLR,0.94811,0.94939,0.95059,0.95187,0.95316,0.9544,0.95568,0.95697,0.95825,0.95929,0.96051,0.96172,0.96325,0.96427,0.96566,0.96718,0.96843,0.96992,0.97158,0.97245
Cambodia,KHM,0.87327,0.87019,0.86687,0.86357,0.86102,0.85742,0.85441,0.85198,0.84845,0.84565,0.84263,0.83972,0.83681,0.8325,0.82867,0.82591,0.82147,0.81764,0.81557,0.8123
Cameroon,CMR,0.83807,0.83782,0.83774,0.83767,0.83767,0.83759,0.83747,0.8374,0.8374,0.83721,0.83716,0.83708,0.83692,0.83682,0.83665,0.83676,0.83657,0.83644,0.83641,0.83624
Canada,CAN,0.97443,0.9742,0.97395,0.97365,0.97337,0.9731,0.97277,0.97242,0.97215,0.97188,0.97159,0.97133,0.97104,0.97072,0.97045,0.97001,0.96972,0.96935,0.96905,0.96876
Cabo Verde,CPV,0.87326,0.8738,0.87419,0.8749,0.87581,0.87648,0.87755,0.87878,0.87935,0.88025,0.88172,0.88248,0.88313,0.88356,0.88625,0.88725,0.88826,0.88942,0.89003,0.89105
Cayman Islands,CYM,0.82985,0.82836,0.8279,0.82717,0.82616,0.82535,0.82446,0.82377,0.82296,0.82245,0.82176,0.82095,0.81983,0.82022,0.81897,0.81794,0.81747,0.81587,0.8147,0.81433
Central African Republic,CAF,0.94401,0.94389,0.94377,0.94368,0.94367,0.94363,0.9436,0.94357,0.9435,0.94349,0.94347,0.94342,0.94336,0.9433,0.94326,0.94325,0.94323,0.94318,0.94319,0.94313
Sri Lanka,LKA,0.66075,0.65535,0.65007,0.64494,0.63897,0.63331,0.62828,0.62328,0.61727,0.61217,0.60573,0.60067,0.59589,0.59095,0.58438,0.58005,0.57324,0.56757,0.56429,0.55708
Chad,TCD,0.92613,0.9257,0.92533,0.92496,0.92462,0.9242,0.9239,0.9235,0.92314,0.92274,0.9224,0.92194,0.92157,0.92118,0.92092,0.92079,0.92051,0.92019,0.92006,0.91976
Chile,CHL,0.82463,0.82081,0.81749,0.81375,0.80937,0.80572,0.80222,0.79893,0.79587,0.79127,0.78763,0.78406,0.78044,0.7758,0.7724,0.76851,0.76433,0.75928,0.75503,0.75203
China,CHN,0.81059,0.80756,0.80341,0.79925,0.79524,0.79184,0.78787,0.78411,0.77983,0.77724,0.77318,0.77037,0.76628,0.762,0.75851,0.75473,0.74981,0.7469,0.74393,0.73872
Christmas Island,CXR,,,,,,,,,,,,,,,,,,,,
Cocos (Keeling) Islands,CCK,,,,,,,,,,,,,,,,,,,,
Colombia,COL,0.7726,0.77069,0.76864,0.7665,0.76513,0.76304,0.76123,0.75946,0.75716,0.75529,0.75363,0.75142,0.74918,0.74742,0.74512,0.74298,0.7411,0.73889,0.73716,0.73496
