Country,CountryCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,1,,,,,
Albania,,1,,,,,,,,,,,,,,,,1,,,
Algeria,,,,,,,1,,,,,,,,,,,1,,,
Andorra,,,,,,,,,,,,,,,,,,1,,,
Angola,,,,,,,,1,,,,,,,,,,,,,1
Antigua and Barbuda,,,,,,,,,,,,,,,,1,,,,,
Argentina,,,,,1,,,,,,,,,,,,,,1,,
Armenia,,1,,,,,,,,,,,,,,,1,,,,
Australia,,1,,,,,,,,,,1,,,,,,,,,
Austria,,1,,,,,1,,,,,,,,,1,,,,,
Azerbaijan,,,,,,1,,,,,,,,,,,,1,,,
Bahrain,,,,,,,,,1,,,,,,,,,1,,,
Bangladesh,,,,,,,,1,,,,,,,,,,1,,,
Belarus,,1,,,,,,,,,,1,,,,,1,,,,
Belgium,,,,,,,,,1,,,,,,1,,,,,,
Belize,,1,,,,,,,,,,,,,,,,1,,,
Benin,,,,1,,,,,,,,,,,,,,1,,,
Bhutan,,1,,1,,,,,,,1,,,,,1,,,,,
Bolivia,,,1,,,,,,,,,,,,,,,,,1,
Bosnia and Herzegovina,,,,,,,,,,,,,1,,,,,1,,,
Botswana,,,,,,,1,,1,,,,,,,,,1,,,
Brazil,,,,1,,,,1,,,,,,,,,,1,,,
Brunei Darussalam,,,,,,,,,,,,,,,,,1,,,,
Burkina Faso,,1,,,,,,,,,,,1,,,,,,,,
Burundi,,1,,,,,,,,,,,,,1,,,,,,
Cabo Verde,,1,,,,,,,,,,,,,,1,,,,,
Cambodia,,,,1,,,,,,,,,,,,,,1,,,
Cameroon,,1,,,,,,,,,,,,1,,,,,,,
Canada,,1,,,,,,,,,,,,,,,,1,,,
Chad,,1,,,,,,,,,,,,,,1,,,,,
Chile,,,,,1,,,,,,,,,,,,,,,1,
China,,1,,,,,,,,,,1,,,,,,,,,
Colombia,,,,,,,1,,,,,,,1,,,,,1,,
Comoros,,1,,,,,,,,,,,,,,,,1,,,
Congo,,,1,,,,,,,,,,,,,,1,,,,
Costa Rica,,1,,,,,,,,,,,,,,,,1,,,
Côte d’Ivoire,,,,1,,,,,,,,,,,,,,1,,,
Croatia,,1,,,,,,,,1,,,,,,,,,1,,
Cuba,,1,,,,,,1,,,,,,,,,,1,,,
Czech Republic,,,,,,,1,,,,,,,,,,,1,,,
DPR Korea,,1,,,,,,,1,,,,,,,,,,,,
DR of Congo,,1,,1,,,,,,,,,,,,,,1,,,
Denmark,,1,,,,1,,,,,,,,,,1,,,,,
Djibouti,,,1,,,,,,,,,,,,,,,,1,,
Dominica,,,,1,,,,,,,,,,,1,,,,,,
Dominican Republic,,,,,,,,,,,,,1,,,,,,,,
Ecuador,,,1,,,,,,,,,,,,,,,1,,,
Egypt,,1,,,,,,,,,,,,,,,,1,,,
